Name	Nick
AARON	RON
ABEL	ABE
ABIGAIL	AB
ABIGAIL	ABBY
ABIGAIL	GAIL
ABIGAIL	NABBY
ABIJAH	AB
ABIJAH	BIGE
ABNER	AB
ABNER	ABBIE
ABOTT	ABBE
ABOTT	ABBIE
ABRAHAM	ABE
ABRAHAM	ABRAM
ABSALOM	AB
ABSALOM	ABBIE
ADALINE	ADA
ADALINE	ADELA
ADALINE	ALINE
ADALINE	EDITH
ADAM	ADE
ADAM	EDIE
ADELA	DELLA
ADELAIDE	ADDIE
ADELBERT	ALBERT
ADELBERT	DEL
ADELBERT	DELBERT
ADELINE	ADA
ADELINE	ADDIE
ADELINE	ADDY
ADOLPHUS	ADO
ADOLPHUS	ADOLPH
ADOLPHUS	DOLPH
ADRIENNE	ADRAIN
AGATHA	ADDY
AGATHA	AG
AGATHA	AGGIE
AGATHA	AGGY
AGATHA	AGNES
AGNES	AGGIE
AGNES	AGGY
AGNES	ANN
AGNES	NANCY
AGNES	NESSIE
AILEEN	HELEN
ALANSON	AL
ALANSON	LANSON
ALASTAIR	AL
ALAZAMO	ALI
ALBERT	AL
ALBERT	BIRD
ALBERTA	ABERTINA
ALBERTA	ALBERTINE
ALBERTA	ALLIE
ALBERTA	BERT
ALBERTA	BERTIE
ALEVA	LEVE
ALEVA	LEVY
ALEXANDER	ALEC
ALEXANDER	ALEX
ALEXANDRA	ALEX
ALEXANDRA	LEXA
ALEXANDRA	LEXI
ALEXANDRA	XAN
ALEXANDRIA	ALLA
ALEXANDRIA	ELLIA
ALEXANDRIA	LEXI
ALEXANDRIA	SANDRA
ALFRED	AL
ALFRED	ALF
ALFRED	ALFIE
ALFREDA	ALFY
ALFREDA	FRIEDA
ALGERNON	ALGY
ALICE	ALICIA
ALICE	ALIE
ALICE	ALLIE
ALICE	ELSIE
ALICE	LISA
ALINE	ADELINE
ALISON	ALI
ALLEN	ALBIE
ALMENA	ALLIE
ALMENA	MENA
ALMINA	MINNIE
ALMIRA	MYRA
ALMONZO	MANNY
ALMONZO	MONZO
ALONZO	AL
ALONZO	ALPHONZO
ALONZO	LON
ALONZO	LONZO
ALPHINIAS	ALPHUS
ALPHONSO	AFFIE
ALPHONSO	ALF
ALPHONSO	ALFIE
AMALIA	AMY
AMALIA	MOLLY
AMANDA	MANDA
AMANDA	MANDY
AMELIA	AMY
AMELIA	EMILY
AMELIA	MEL
AMELIA	MELIA
AMELIA	MILLIE
AMELIA	MOLLY
AMOS	MOSES
ANASTASIA	ANA
ANASTASIA	STACIA
ANASTASIA	STACY
ANDREA	ANDI
ANDREW	ANDIE
ANDREW	ANDY
ANDREW	DREW
ANGELA	ANGELICA
ANGELA	ANGELINA
ANGELA	ANGELINE
ANGELA	ANGIE
ANGELA	ANGY
ANGELA	JANE
ANNABELLE	BELLA
ANNABELLE	BELLE
